2021-12-17 18:49:04.040 [main] TRACE Application - {
    # application.conf @ file:/Users/kir/dev/student/cross-wars-compose3/serverKtor/build/resources/main/application.conf: 6
    "application" : {
        # application.conf @ file:/Users/kir/dev/student/cross-wars-compose3/serverKtor/build/resources/main/application.conf: 7
        "modules" : [
            # application.conf @ file:/Users/kir/dev/student/cross-wars-compose3/serverKtor/build/resources/main/application.conf: 7
            "com.vkir.ServerKt.module"
        ]
    },
    # application.conf @ file:/Users/kir/dev/student/cross-wars-compose3/serverKtor/build/resources/main/application.conf: 2
    "deployment" : {
        # application.conf @ file:/Users/kir/dev/student/cross-wars-compose3/serverKtor/build/resources/main/application.conf: 3
        "port" : 8080
    },
    # Content hidden
    "security" : "***"
}

2021-12-17 18:49:04.103 [main] INFO  Application - Autoreload is disabled because the development mode is off.
2021-12-17 18:49:04.536 [main] INFO  Application - Responding at http://0.0.0.0:8080
2021-12-17 18:49:04.539 [main] INFO  Application - Application started in 0.445 seconds.
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-7] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-12] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-11] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.187 [DefaultDispatcher-worker-2] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-3] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.187 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.187 [DefaultDispatcher-worker-13] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-8] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-9] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.186 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.187 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.187 [DefaultDispatcher-worker-6] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-11] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-12] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-2] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-12] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-7] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-3] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.188 [DefaultDispatcher-worker-13] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-8] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-9] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-6] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-11] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-6] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.189 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-2] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-12] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-7] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-3] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-13] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-8] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-9] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-8] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-11] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-6] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-2] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-10] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.190 [DefaultDispatcher-worker-12] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-7] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-3] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-13] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-9] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.192 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-8] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.191 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.192 [DefaultDispatcher-worker-4] DEBUG com.vkir.TestPlayer - Job was cancelled
2021-12-17 18:50:09.192 [DefaultDispatcher-worker-5] DEBUG com.vkir.TestPlayer - Job was cancelled
